[-1.45583, -48.50444]
[51.7883997, 1.1527865]
[38.3147912, -85.5238489]
[42.31809, -84.0205]
[52.6099583, -1.1823874]
[50.9383611, 6.9599738]
[52.44889, 9.74]
[55.892134, -3.1595483]
[56.1070838, -3.7574147]
[-15.6338838, -72.4206420777114]
[0, 0]
[51.561663, -0.0568321]
[56.2436941, -4.2148033]
[54.8545297, -1.5750701]
[51.9044966, -2.0575232]
[51.3900118, 1.3987007]
[53.2904364, -3.7086755]
[55.94458805, -4.03784305]
[39.65287, -78.76252]
[51.16667, 0.66667]
[55.9930539, -4.2300152]
[0, 0]
[56.0020644, -3.81974]
[45.185474, 10.248676]
[-33.9113231, 151.1034497]
[54.5198223, -3.5175605]
[51.3392845, -0.7460981]
[53.413526, -4.4544142]
[49.5003788, 5.9456968]
[-38.0967762, 145.283504601882]
[0, 0]
[0, 0]
[53.9076817, -1.4136068]
[0, 0]
[0, 0]
[37.24954, -83.1932284]
[45.1005294, -72.3038169]
[43.5512076, 7.0126946]
[53.1403068, -4.2763809]
[0, 0]
[53.1403068, -4.2763809]
[51.27904, 1.07992]
[50.8266667, 12.6244533]
[55.8552819, -4.0282822]
[33.58831, -7.61138]
[53.8717465, -2.3926783]
[50.41460985, 4.45372642379335]
[51.9233778, 0.897651415535028]
[54.8519729, -1.8332989]
[55.67594, 12.56553]
[52.48763, -0.701543]
[0, 0]
[43.1702062, -76.1370942]
[56.546656, -3.265605]
[52.4481077, -1.49563888248884]
[40.7874455, -73.9619003691178]
[0, 0]
[0, 0]
[-25.7836791, -56.4351788]
[38.7251776, -105.6077167]
[52.8394261, 1.2426116]
[51.32739625, 12.3908893040561]
[51.4622924, -0.1388561]
[55.6867243, 12.5700724]
[0, 0]
[53.5572068, -0.0289969]
[53.5572068, -0.0289969]
[0, 0]
[51.3657883, -0.1610857]
[0, 0]
[-4.1725, -38.46056]
[54.9015058, -4.379229]
[0, 0]
[47.4497202, -99.1262235]
[56.373632, -3.8406626]
[54.31394085, -4.357358925]
[54.8956035, -2.913625436196]
[51.8591257, -4.3115907]
[44.5746536, -104.5816096]
[51.3982724, -0.0854193186833424]
[0, 0]
[0, 0]
[51.0995448, -0.194701980038681]
[54.36111, -7.41667]
[39.33333, -0.83333]
[53.08740205, -2.43573322332308]
[37.2618057, -75.9457638]
[53.4929151, -2.0795486]
[47.424317, 19.0692138186022]
[53.2535377, -1.42578953781081]
[0, 0]
[55.88540065, 37.454181529672]
[51.3997689, -0.411581593056485]
[40.25185675, -0.0615050601057482]
[0, 0]
[53.18920345, -2.92348415510088]
[45.45, 28.05]
[47.8194416, 12.992068]
[37.97945, 23.71622]
[0, 0]
[0, 0]
[55.8161715, -4.2631964]
[-13.5, 34]
[46.5799933, -92.7206334]
[51.39260425, -0.508004979196127]
[55.501512, -4.3203795]
[55.8227111, -4.2677125]
[0, 0]
[55.8243581, -4.268843]
[51.8872824, -8.4667261]
[45.8333119, 16.0101508]
[0, 0]
[38.664729, -9.069816]
[-24.19456, -65.29712]
[55.4532369, -4.2669242]
[46.855515, 9.5254066]
[55.9476744, -3.9880517]
[51.4360625, -2.8526531]
[52.882664, 0.6634399]
[51.54702, -0.10944]
[45.756838, 22.9015598]
[42.20609615, -8.74189685708667]
[40.5855039, -111.8496559]
[0, 0]
[0, 0]
[34.69374, 135.50218]
[52.22977, 21.01178]
[53.0018038, -1.1783738]
[51.6512048, -3.0302581]
[52.5166912, -3.4287751]
[0, 0]
[0, 0]
[55.8331586, -4.2565978]
[0, 0]
[53.7560644, -2.3965254]
[55.6171289, -2.8098276]
[53.99983, -125.0032]
[-33.915, 151.1177778]
[-32.5705565, 151.2094448]
[41.2397823, -79.8092189]
[51.38333, -0.1]
[52.46214465, -2.08467201552868]
[0, 0]
[50.92878, 11.5899]
[-20.487335, -49.988115]
[0, 0]
[34.2998762, -79.8761741]
[0, 0]
[51.5817664, -0.205993780754465]
[53.2368961, -2.510866]
[53.6960957, -2.4665093]
[37.97945, 23.71622]
[48.73194395, 19.1309589110279]
[53.99983, -125.0032]
[42.675319, -71.1405559]
[39.8688754, -106.9055994]
[55.8434162, -4.3079605]
[52.5401363, 13.4788778]
[52.91487925, -1.46557447610457]
[35.053115, -80.8688429]
[0, 0]
[52.9212617, -1.4761491]
[46.56667, 26.9]
[53.99983, -125.0032]
[56.4746055, -2.97362607563045]
[0, 0]
[0, 0]
[0, 0]
[0, 0]
[51.9000641, -1.5029038]
[51.9341906, 4.6005456]
[54.32133, 10.13489]
[56.0210686, -3.9091804]
[-33.7328296, 150.852577]
[52.9149454, -1.44731899787206]
[0, 0]
[56.0694599, -3.4604559]
[44.08333, 12.03333]
[0, 0]
[0, 0]
[56.0694599, -3.4604559]
[0, 0]
[55.0699746, -3.6095639]
[0, 0]
[59.15317255, 14.429411621865]
[53.72338, -6.35738]
[56.51667, 21.01667]
[-33.8434076, 151.1489283]
[54.5039088, -6.7703622]
[51.5686455, -0.0264517]
[0, 0]
[48.0953013, 20.7016185]
[52.06272045, 4.38204313266854]
[0, 0]
[41.64159, 41.63593]
[0, 0]
[53.8943016, 27.5621725]
[37.97945, 23.71622]
[0, 0]
[52.38085225, 1.09719910340088]
[0, 0]
[56.5569157, -3.5784012]
[54.9326659, -3.8259121]
[43.368805, -8.41755706644209]
[32.7761963, -96.7968994]
[55.940921, -3.2243207]
[0, 0]
[0, 0]
[-33.9039414, 151.1399354]
[0, 0]
[44.85, 24.86667]
[53.52327, -1.13691]
[54.7187433, -6.202214]
[51.9187642, 30.8250839]
[-37.98749, 145.2147923]
[0, 0]
[47.9851181, 17.6141729063425]
[56.5655711, -3.5862546]
[41.4198027, -75.6324112]
[0, 0]
[41.3275, 19.81889]
[56.01486895, -3.86772436370653]
